neighborhood,zip_code,Total Population,Median Age,0-9 years,%,10-17 years,%,18-19 years,%,20-34 years,%,35-59 years,%,60 and over,%
Allston,2134,"19,261",27.5,409,2.10%,331,1.70%,"2,359",12.20%,"13,046",67.70%,"2,307",12.00%,809,4.20%
Back Bay,2116,"17,783",33.6,655,3.70%,514,2.90%,980,5.50%,"7,418",41.70%,"4,893",27.50%,"3,323",18.70%
Beacon Hill,2108,"9,648",33,615,6.40%,247,2.60%,40,0.40%,"4,524",46.90%,"2,540",26.30%,"1,682",17.40%
Brighton,2135,"55,297",30.8,"3,170",5.70%,"2,105",3.80%,"1,450",2.60%,"29,181",52.80%,"11,485",20.80%,"7,906",14.30%
Charlestown,2808,"19,890",35.7,"2,978",15.00%,996,5.00%,186,0.90%,"5,603",28.20%,"6,824",34.30%,"3,303",16.60%
Dorchester,2125,"126,909",33.4,"15,104",11.90%,"13,018",10.30%,"3,478",2.70%,"35,771",28.20%,"38,890",30.60%,"20,648",16.30%
Fenway,2215,"33,489",26.3,509,1.50%,190,0.60%,"8,496",25.40%,"18,072",54.00%,"3,981",11.90%,"2,241",6.70%
Hyde Park,2136,"38,924",39.4,"4,140",10.60%,"4,148",10.70%,606,1.60%,"8,221",21.10%,"13,392",34.40%,"8,417",21.60%
Jamaica Plain,2130,"40,867",34.8,"4,232",10.40%,"2,389",5.80%,674,1.60%,"13,286",32.50%,"13,387",32.80%,"6,899",16.90%
Longwood,2115,"5,351",20.2,8,0.10%,43,0.80%,"2,597",48.50%,"2,575",48.10%,65,1.20%,63,1.20%
Mattapan,2126,"26,659",36.7,"3,496",13.10%,"3,072",11.50%,575,2.20%,"5,582",20.90%,"9,031",33.90%,"4,903",18.40%
Mission Hill,2120,"17,386",30.1,660,3.80%,825,4.70%,"1,424",8.20%,"8,599",49.50%,"3,163",18.20%,"2,715",15.60%
North End,2110,"8,749",31.1,310,3.50%,199,2.30%,19,0.20%,"5,208",59.50%,"1,818",20.80%,"1,195",13.70%
Roslindale,2131,"30,021",39.8,"3,412",11.40%,"2,567",8.60%,555,1.80%,"6,310",21.00%,"11,224",37.40%,"5,953",19.80%
Roxbury,2119,"54,161",32.5,"6,557",12.10%,"5,289",9.80%,"2,669",4.90%,"15,059",27.80%,"15,564",28.70%,"9,023",16.70%
South Boston,2127,"36,772",31.9,"3,165",8.60%,"1,496",4.10%,305,0.80%,"16,937",46.10%,"10,206",27.80%,"4,663",12.70%
South Boston Waterfront,2127,"4,403",34.5,138,3.10%,51,1.20%,43,1.00%,"2,038",46.30%,"1,546",35.10%,587,13.30%
South End,2118,"32,571",37.1,"2,421",7.40%,"1,544",4.70%,360,1.10%,"11,029",33.90%,"10,922",33.50%,"6,295",19.30%
West End,2113,"6,619",37.8,297,4.50%,125,1.90%,141,2.10%,"2,504",37.80%,"2,168",32.80%,"1,384",20.90%
West Roxbury,2132,"33,526",42.8,"4,066",12.10%,"2,829",8.40%,319,1.00%,"6,062",18.10%,"11,182",33.40%,"9,068",27.00%
